id,nat,kin,prefix,root,modifier,en,context,pronunciation,voiceLink,closeSuggestions,verified,author
1,not set,kwaguka,kw,aguka,#NAME?,"to be widened, made wider",not set,not set,not set,NULL,0,1
2,not set,kwagura,kw,agura,#NAME?,"to widen, make wider",not set,not set,not set,NULL,0,1
3,not set,kwahuka,kw,ahuka,#NAME?,to go to pasture,not set,not set,not set,NULL,0,1
4,not set,kwahukana,kw,ahukana,#NAME?,"to be separated, divorced",not set,not set,not set,NULL,0,1
5,not set,kwahura,kw,ahura,#NAME?,to herd to pasture (cattle),not set,not set,not set,NULL,0,1
6,not set,kwaka,kw,aka,#NAME?,"to be burning, be started",not set,not set,not set,NULL,0,1
7,not set,kwakira,kw,akira,#NAME?,"to receive, welcome, accept, take in hands",not set,not set,not set,NULL,0,1
8,not set,kwamamara,kw,amamara,#NAME?,"to spread everywhere, become known",not set,not set,not set,NULL,0,1
9,not set,kwamamaza,kw,amamaza,#NAME?,"to advertise, publish, make known, declare, campaign",not set,not set,not set,NULL,0,1
10,not set,kwambara,kw,ambara,#NAME?,to wear,not set,not set,not set,NULL,0,1
11,not set,kwambarwa,kw,ambarwa,#NAME?,to be worn,not set,not set,not set,NULL,0,1
12,not set,kwambaza,kw,ambaza,#NAME?,"to pray, petition, call upon, supplicate, implore",not set,not set,not set,NULL,0,1
13,not set,kwambika,kw,ambika,#NAME?,"to clothe, dress someone else",not set,not set,not set,NULL,0,1
14,not set,kwambuka,kw,ambuka,#NAME?,to cross body of water or land,not set,not set,not set,NULL,0,1
15,not set,kwambura,kw,ambura,#NAME?,to refuse to payback what you owe,not set,not set,not set,NULL,0,1
16,not set,kwandarika,kw,andarika,#NAME?,to leave something in the wrong place,not set,not set,not set,NULL,0,1
17,not set,kwandika,kw,andika,#NAME?,to write,not set,not set,not set,NULL,0,1
18,not set,kwandikira,kw,andikira,#NAME?,"to write to, write for, write on",not set,not set,not set,NULL,0,1
19,not set,kwandikirwa,kw,andikirwa,#NAME?,"to be written to, written for, written on",not set,not set,not set,NULL,0,1
20,not set,kwandikisha,kw,andikisha,#NAME?,to register,not set,not set,not set,NULL,0,1
21,not set,kwandikishwa,kw,andikishwa,#NAME?,to be registered,not set,not set,not set,NULL,0,1
22,not set,kwandikwa,kw,andikwa,#NAME?,to be written,not set,not set,not set,NULL,0,1
23,not set,kwanga,kw,anga,#NAME?,"to hate, dislike, refuse, reject",not set,not set,not set,NULL,0,1
24,not set,kwangana,kw,angana,#NAME?,"to hate each other, dislike each other",not set,not set,not set,NULL,0,1
25,not set,kwangira,kw,angira,#NAME?,"to resist, refuse to",not set,not set,not set,NULL,0,1
26,not set,kwangirika,kw,angirika,#NAME?,"to be destroyed, damaged",not set,not set,not set,NULL,0,1
27,not set,kwangirira,kw,angirira,#NAME?,"to resist, refuse to",not set,not set,not set,NULL,0,1
28,not set,kwangiza,kw,angiza,#NAME?,"to damage, waste, destroy",not set,not set,not set,NULL,0,1
29,not set,kwangwa,kw,angwa,#NAME?,"to be hated, dislike, refused",not set,not set,not set,NULL,0,1
30,not set,kwanika,kw,anika,#NAME?,"to put out in the sun, expose",not set,not set,not set,NULL,0,1
31,not set,kwanura,kw,anura,#NAME?,to bring in from the sun,not set,not set,not set,NULL,0,1
32,not set,kwanzura,kw,anzura,#NAME?,"to decide, conclude",not set,not set,not set,NULL,0,1
33,not set,kwarama,kw,arama,#NAME?,to stay in the house after being married (women only),not set,not set,not set,NULL,0,1
34,not set,kwarika,kw,arika,#NAME?,"to mix water and flour, make posho or ugali",not set,not set,not set,NULL,0,1
35,not set,kwasa,kw,asa,#NAME?,to cut or chop firewood,not set,not set,not set,NULL,0,1
36,not set,kwasama,kw,asama,#NAME?,to open one's mouth,not set,not set,not set,NULL,0,1
37,not set,kwatsa,kw,atsa,#NAME?,"to start (an object), set fire to",not set,not set,not set,NULL,0,1
38,not set,kwatswa,kw,atswa,#NAME?,"to be started, be burned",not set,not set,not set,NULL,0,1
39,not set,kwayura,kw,ayura,#NAME?,to yawn,not set,not set,not set,NULL,0,1
40,not set,kuba,ku,ba,#NAME?,"to be, live, exist",not set,not set,not set,NULL,0,1
41,not set,kubabara,ku,babara,#NAME?,"to be in pain, suffer, hurt",not set,not set,not set,NULL,0,1
