en,kin,phrase,categ,verified,prefs,prefpl,sanotek,sanopl,cumbi,modif,kinSing,kinPl,enSing,enPl,simplP,pastP,syn,context,situation,author,revised,updated
I am able to swim.,Nshobora koga.,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
able,(to be able=gushobora; kubasha),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
about,kwerekera,0,verb,1,,,n,n,erekera,erekeye,NOT APPLICABLE,NOT APPLICABLE,,,about,about,,,,217,0,1000000
account,konti,0,noun,1,,,n,n,konti,konti,konti,konti,account,accounts,,,,,,6000,1,1000000
acid,sharira,0,verbadj,1,,,n,n,sharira,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
across,hakurya,0,adverb,1,,,n,n,hakurya,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
act,igikorwa,0,noun,1,i,i,ki,bi,korwa,korwa,igikorwa,ibikorwa,act,acts,,,"action,deed",,,6000,1,1000000
addition,iteranya,0,noun,1,i,a,ri,ma,teranya,teranya,iteranya,amateranya,addition,additions,,,,,,6000,1,1000000
adjustment,ugutunganya,0,noun,1,u,u,gu,gu,tunganya,tunganya,ugutunganya,ugutunganya,adjustment,adjustments,,,adaptation,,,6000,1,1000000
advertisement,iyamamaza,0,noun,1,i,i,ri,ri,amamaza,amamaza,iyamamaza,iyamamaza,advertisement,adertisements,,,,,,6000,1,1000000
after,nyuma,0,adverb,1,,,,,,,,,,,,,,,,6000,1,1000000
again,ubuntu,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
against,(to be against=kurwanya),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
agreement,ubwumvikane,0,noun,1,u,u,bu,bu,umvikane,umvikane,ubwumvikane,ubwumvikane,agreement,agreements,,,,,,6000,1,1000000
air,umwuka,0,noun,1,u,i,mu,mi,uka,uka,umwuka,imyuka,air,airs,,,,,,6000,1,1000000
all,ose,0,verbadj,1,,,n,n,ose,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
almost,hafi,0,adverb,1,,,,,,,,,,,,,,,,6000,0,1000000
among,muri,0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
amount,ingano,0,noun,1,i,i,n,n,gano,gano,ingano,ingano,amount,amounts,,,,,,6000,1,1000000
amusement,umukino,0,noun,1,u,i,mu,mi,kino,kino,umukino,imikino,amusement,amusements,,,,,,6000,1,1000000
angry,arakaye,0,verbadj,1,,,n,n,arakaye,,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,217,0,1000000
angle,imfuruka,0,noun,1,i,i,n,n,pfuruka,pfuruka,imfuruka,imfuruka,angle,angles,,,,,,6000,1,1000000
animal,inyamaswa :: inyamaswa,0,noun,1,i,i,n,n,nyamaswa,,inyamaswa,inyamaswa,animal,animals,,,beast,,,6000,1,1000000
answer,igisubizo,0,noun,1,i,i,gi,bi,subizo,subizo,igisubizo,ibisubizo,answer,answers,,,,,,6000,1,1000000
ant,urutozi (pl= intozi),0,noun,1,u,i,ru,n,tozi,,urutozi,intozi,ant,ants,,,,,,6000,1,1000000
any,(-),0,general,1,,,,,,,,,,,,,,,,6000,0,1000000
apple,itunda,0,noun,1,i,a,ri,ma,tunda,tunda,itunda,amatunda,apple,apples,,,,,,6000,1,1000000
approval,ukwemeza; ukwemezwa,0,noun,1,u,i,ru,n,husa,husa,uruhusa,impusa,approval,approvals,,,,,,6000,1,1000000
arch,ikitabashwa :: ibitabashwa,0,noun,1,,,gi,bi,tabashwa,,igitabashwa,ibitabashwa,arch,arches,,,,,,217,0,1000000
argument,impaka,0,noun,1,i,i,n,n,haka,paka,impaka,impaka,argument,argument,,,,,,6000,0,1000000
arm,ukuboko :: amaboko,0,noun,1,u,a,ku,ma,boko,,ukuboko,amaboko,arm,arms,,,"leg,hand",,,6000,1,1000000
army,igitero :: ibitero,0,noun,1,i,i,ki,bi,tero,,igitero,ibitero,army,armies,,,soldier,,,6000,1,1000000
attack,gusatira,0,verb,1,,,n,n,satira,satiriye,NOT APPLICABLE,NOT APPLICABLE,,,attacked,attacked,,,,217,0,1000000
attempt,kugerageza,0,verb,1,,,,,gerageza,gerageje,NOT APPLICABLE,NOT APPLICABLE,,,attempted,attempted,try,,,6000,0,1000000
attention,ubushishozi,0,noun,1,u,u,bu,bu,shishozi,shishozi,ubushishozi,ubushishozi,attention,attentiveness,,,,,,6000,1,1000000
distraction,ibirangaza,0,noun,1,i,i,bi,bi,rangaza,rangaza,ibirangaza,ibirangaza,distraction,distractions,,,,,,6000,1,1000000
